사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,,작업일시
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,
2022-06,2호선,0234,신도림,"3,709",59,"33,177","5,151","50,290","22,644","128,913","40,444","136,081","105,867","84,997","60,628","57,394","60,974","56,603","60,955","64,320","62,203","65,368","65,100","65,191","62,311","69,790","69,911","77,755","81,587","94,587","107,255","117,794","167,986","67,401","118,784","59,539","69,230","61,938","67,536","49,178","66,692","21,215","56,937","2,364","20,253",7,"2,132",0,0,0,0,2022-07-03 09:48:05
2022-06,2호선,0235,문래,6,0,"3,938","2,607","13,399","14,594","41,083","34,537","47,142","117,735","26,183","58,477","19,544","27,953","19,704","23,214","23,447","23,638","25,172","25,571","24,306","23,250","27,364","24,486","35,728","28,248","56,035","36,124","99,932","54,917","36,717","39,076","25,270","20,406","26,131","18,832","21,577","17,046","9,756","11,105","1,467","3,000",2,47,0,0,0,0,2022-07-03 09:48:05
2022-06,2호선,0236,영등포구청,54,0,"5,407","3,177","12,071","14,920","37,524","36,120","44,765","121,398","27,471","53,280","22,077","26,191","23,187","23,733","24,904","23,956","25,650","26,431","27,071","23,532","29,116","24,036","34,167","28,246","51,233","34,280","100,431","51,722","34,000","34,390","25,944","20,627","24,058","19,350","19,040","18,086","8,243","12,741","1,083","3,721",2,93,0,0,0,0,2022-07-03 09:48:05
2022-06,2호선,0237,당산,33,3,"6,777","3,030","16,781","12,742","43,518","28,744","52,931","74,242","32,493","34,974","22,896","18,553","22,805","17,639","23,143","19,092","22,360","21,420","20,769","21,781","22,327","25,339","26,886","31,307","39,721","43,978","58,156","70,910","25,278","47,177","20,594","30,522","20,749","30,220","18,669","29,343","8,152","19,551","1,090","4,315",6,108,0,0,0,0,2022-07-03 09:48:05
2022-06,2호선,0238,합정,103,6,"10,412","2,890","18,325","14,294","42,116","32,323","54,453","92,841","35,930","82,257","26,206","48,348","28,510","48,350","34,102","50,532","37,541","56,185","41,078","51,636","44,179","51,508","52,356","60,840","69,638","77,730","110,290","108,855","72,524","72,871","58,447","38,452","64,355","32,230","62,970","28,574","30,937","20,398","4,187","6,225",1,110,0,1,0,0,2022-07-03 09:48:05
2022-06,2호선,0239,홍대입구,882,28,"28,322","3,986","29,273","17,272","59,260","36,902","77,518","100,993","51,399","116,865","40,489","86,920","48,116","102,558","59,579","121,850","69,023","132,667","76,776","126,803","93,183","128,713","115,985","135,392","141,574","162,215","168,625","201,978","130,744","138,818","132,488","78,765","157,600","63,352","165,217","53,234","77,003","40,624","7,780","12,437",1,"1,366",0,0,0,0,2022-07-03 09:48:05
2022-06,2호선,0240,신촌,72,2,"7,725","2,868","14,707","14,371","35,123","35,128","52,050","76,979","34,014","86,023","34,272","56,666","39,818","53,697","51,555","60,053","53,882","67,306","55,722","58,532","63,361","55,003","74,502","58,088","87,648","75,371","86,527","101,640","59,115","65,759","62,637","37,944","66,258","33,415","66,054","29,654","31,109","22,396","3,903","4,792",2,33,0,0,0,0,2022-07-03 09:48:05
2022-06,2호선,0241,이대,51,0,"3,560","1,120","8,665","7,857","24,368","12,642","32,791","36,128","19,430","30,812","14,948","23,092","16,706","20,270","22,199","22,576","22,725","24,386","21,345","20,981","24,840","20,777","28,052","22,445","36,206","27,378","32,206","37,985","20,605","27,478","17,644","17,498","16,036","17,456","14,197","17,807","5,113","14,077",545,"2,806",0,17,0,1,0,0,2022-07-03 09:48:05
2022-06,2호선,0242,아현,36,2,"4,444","1,020","11,206","7,385","27,565","12,815","38,268","21,962","22,582","12,086","16,051","10,314","15,060","9,756","16,328","11,385","15,710","12,427","13,728","13,260","15,705","14,607","23,086","16,726","19,591","21,735","19,039","30,860","11,634","23,096","8,641","15,463","6,862","15,353","5,254","14,527","2,012","9,418",223,"1,994",1,6,0,1,0,0,2022-07-03 09:48:05
2022-06,2호선,0243,충정로(경기대입구),28,1,"3,004","1,099","6,629","6,881","15,407","22,086","21,502","57,268","13,594","26,367","10,205","12,458","10,931","10,169","11,257","10,664","11,685","11,990","12,318","10,994","13,789","10,765","17,192","12,212","26,399","15,155","44,966","20,638","13,935","14,152","9,359","9,177","9,135","9,581","6,946","9,091","3,149","6,297",510,"1,490",0,33,0,0,0,0,2022-07-03 09:48:05
2022-06,2호선,0244,용답,7,2,"2,462",220,"3,339","1,251","7,914","1,795","12,471","3,675","6,877","4,115","4,639","2,927","4,126","2,878","4,717","3,242","4,368","3,881","4,034","3,304","4,481","4,025","5,095","5,506","5,047","6,212","3,962","10,249","2,486","6,857","1,726","4,630","1,266","5,372","1,267","5,209",476,"3,607",66,737,0,2,0,0,0,0,2022-07-03 09:48:05
2022-06,2호선,0245,신답,6,0,"1,018",131,"1,944",495,"6,542","1,060","10,585","1,537","4,809","1,089","2,484","1,074","2,057","1,221","1,996","1,309","1,959","1,480","1,718","1,821","1,695","2,453","1,774","3,395","2,110","4,477","2,223","9,319","1,142","6,565",643,"3,369",525,"3,635",482,"3,152",186,"2,496",20,513,0,3,0,0,0,0,2022-07-03 09:48:05
